y,t
8.0900,1
8.0900,2
8.1200,3
8.0700,4
7.9700,5
7.6700,6
7.7000,7
7.7100,8
7.6700,9
7.7300,10
7.6300,11
7.6900,12
7.6700,13
7.6900,14
7.6100,15
7.4500,16
7.4600,17
7.4100,18
7.4000,19
7.4900,20
7.5600,21
7.6600,22
7.6500,23
7.7500,24
7.7400,25
7.7200,26
7.6900,27
7.7300,28
7.7500,29
7.8000,30
7.7500,31
7.8000,32
7.5800,33
7.5300,34
7.5500,35
7.5200,36
7.5100,37
7.5200,38
7.5200,39
7.4900,40
7.4000,41
7.6000,42
7.5500,43
7.6100,44
7.6100,45
7.5800,46
7.4600,47
7.3200,48
7.3800,49
7.6000,50
7.5600,51
7.4900,52
7.4800,53
7.4500,54
7.5200,55
7.4100,56
7.3500,57
7.3400,58
7.2300,59
7.2100,60
7.1700,61
7.1600,62
7.1100,63
7.3200,64
7.3800,65
7.3200,66
7.4500,67
7.4400,68
7.4100,69
7.4500,70
7.4100,71
7.4600,72
7.5500,73
7.6200,74
7.5800,75
7.6500,76
7.5700,77
7.5900,78
7.5300,79
7.4600,80
7.4700,81
7.4800,82
7.5100,83
7.6400,84
7.6800,85
7.7300,86
7.6800,87
7.6900,88
7.5400,89
7.5300,90
7.6300,91
7.4900,92
7.5000,93
7.4200,94
7.3600,95
7.3700,96
7.3500,97
7.4700,98
7.4400,99
7.5100,100
7.4700,101
7.4600,102
7.4400,103
7.4100,104
7.4600,105
7.3500,106
7.4300,107
7.8800,108
7.8900,109
8.2600,110
8.3300,111
8.2800,112
8.4000,113
8.2900,114
8.9000,115
9.0700,116
9.1400,117
9.0500,118
9.0600,119
8.9700,120
9.0900,121
9.4500,122
9.4600,123
9.3900,124
9.5900,125
9.9200,126
10.0200,127
10.3200,128
10.1200,129
10.1400,130
10.0400,131
9.8200,132
10.3500,133
10.3300,134
10.1200,135
10.0300,136
10.1600,137
10.4000,138
10.4800,139
10.6000,140
10.6100,141
10.6600,142
11.1800,143
11.3000,144
11.2400,145
11.4800,146
11.9500,147
12.0700,148
11.8700,149
12.0000,150
11.4300,151
11.3400,152
11.2600,153
11.1000,154
10.8100,155
10.2200,156
10.1400,157
10.3200,158
10.3300,159
10.3900,160
11.0600,161
11.1700,162
10.3900,163
11.0700,164
11.1100,165
10.7600,166
10.7100,167
10.4700,168
10.2900,169
10.2500,170
10.4500,171
10.5100,172
10.4800,173
10.6500,174
11.1900,175
11.1000,176
11.0600,177
11.0400,178
10.7000,179
