t,y
2818.0,-2.0528011
1219.0,20.638739
1159.0,19.822865
1416.0,20.689732
2752.0,15.029594
1528.0,21.403622
2961.0,-2.0528011
1301.0,20.842709
2906.0,-2.0528011
1604.0,21.556599
161.0,-2.0528011
1705.0,20.587748
957.0,21.862553
2955.0,-2.0528011
878.0,20.944693
1920.0,11.613115
1885.0,20.689732
2201.0,-2.0528011
99.0,-2.0528011
2867.0,-2.0528011
2558.0,9.726403
254.0,-2.0528011
104.0,-2.0528011
1446.0,22.93339
1444.0,22.627436
1649.0,18.39508
587.0,-0.3190661
628.0,-0.42105013
1697.0,12.785936
2102.0,6.258932
2200.0,-2.0528011
404.0,-2.0528011
1155.0,23.290335
2256.0,-2.0528011
1683.0,23.290335
2057.0,20.587748
2884.0,-2.0528011
453.0,-2.0528011
2302.0,8.910527
1328.0,22.219498
2050.0,18.191113
881.0,18.854012
2958.0,-2.0528011
624.0,1.771616
2394.0,14.264711
2811.0,-2.0528011
1788.0,18.548058
263.0,-2.0528011
1635.0,17.630198
1439.0,24.004227
2199.0,-2.0528011
1970.0,2.740469
2521.0,-2.0528011
1803.0,23.290335
641.0,0.5987949
2386.0,23.035374
2599.0,-2.0528011
2870.0,-2.0528011
1960.0,11.052201
489.0,-2.0018091
1844.0,6.309924
1735.0,4.066266
147.0,-2.0528011
1535.0,23.137358
1987.0,19.210957
1370.0,23.800257
2451.0,18.34409
2976.0,-2.0528011
660.0,4.117258
1795.0,21.505608
2512.0,-2.0528011
187.0,-2.0528011
1148.0,22.93339
609.0,-2.0018091
2192.0,2.893445
2800.0,6.564885
1931.0,16.457376
198.0,-2.0528011
2328.0,3.811305
294.0,-2.0528011
767.0,13.244866
401.0,-2.0528011
123.0,-2.0528011
203.0,-2.0528011
836.0,22.168507
2295.0,19.414927
1440.0,23.341328
1734.0,-1.5428791
1696.0,18.905005
2968.0,-2.0528011
1708.0,20.638739
2953.0,-2.0528011
1154.0,22.627436
1662.0,6.6668696
2433.0,9.369457
1760.0,12.276014
855.0,18.59905
1590.0,21.301638
